game_id,curator_id,attitude,date,follower_name,review_text,这个鉴赏家评论的游戏数量
607400,11101823,Recommended,2017年12月27日,22503,像素风格的动作游戏难度比较大 手残 苦手 放弃吧喜欢挑战的朋友 可以试试,588
607400,8874646,Informational,2017年12月22日,19500,颇有难度的一款平台动作游戏.笔者很苦手这类跳跃平台游戏.喜欢此类游戏的可以关注一下.,345
203990,26612790,Recommended,2017年6月29日,16,向《宇宙巡航机》和《沙罗曼蛇》致敬的作品，值得一玩。,18
1520,25053313,Recommended,2017年3月25日,24,A good way to set the world ablaze.,28
24010,27093039,Recommended,2017年12月8日,286204,作为一个模拟类游戏的粉丝，Train Simulator 2016（其实就是2017，强制更新的）被我个人评为我游戏库里所有模拟类游戏里最核心的一款，无论是难度还是所涉及专业知识，它都当之无愧的列于“山峰”级，而过于拟真的设定决定了游戏可能只适合部分玩家。同时身为中国玩家，很高兴看到了官方制作的中国线路DLC，期待有一天能购买，也期待能有更多中国DLC，让我也能在祖国大地上开着火车飞驰！,1045
24010,26587388,Not Recommended,2017年6月20日,347,优化太糟糕了，显卡利用率很低，画面还不是很好。。。,24
24010,9283139,Recommended,2016年4月18日,7,要么买完，要么别买,8
24010,11796776,Recommended,2016年7月18日,4,memes xD,13
818080,27032354,Recommended,3月27日,1229,一款上帝视角控制车辆移动沿路拾取金币的小游戏，玩家需要在拾取硬币的同时避开箱子和迎面驶来的汽车。游戏没有过多的元素植入增加趣味性，相对比较枯燥- 美工：★★ 可玩性：★ 剧情：★,422
828580,8874646,Recommended,4月29日,19500,猫忍~艹之~~∠(?」∠)_,345
828580,30583116,Recommended,4月28日,5878,猫忍2，动作类大作（雾），自带繁体中文，绅士们继续选择社保吧！*这是一款GALGAME。该系列一共有1+N个外传，本作是接着1的剧情。,236
828580,31899806,Recommended,4月30日,1145,新的猫忍，新的社保，还他喵不买爆！,78
407530,6299351,Recommended,2016年4月15日,40,,26
407530,28920669,Recommended,2017年5月25日,35,nice game,12
