game_id,name,type,developer,date,price,memory,cpu,curation_num,review_num
535000,EXIT,"休闲, 独立",SIXNAILS ,2016年12月16日,22,2 GB,Intel/AMD SSE2 2.0GHz,2,0
570840,家有大貓 Nekojishi,免费游玩,Team Nekojishi ,2017年11月12日,39,,,30,0
304930,Unturned,"动作, 冒险, 休闲, 免费游玩, 独立",Smartly Dressed Games ,2017年7月7日,21,4 GB,2 GHz,3139,307635
715050,The Islander,"休闲, 独立, 模拟",7 Box Games ,2018年2月13日,15,1 GB,2 GHz,3,56
615970,Displaced,"冒险, 独立, 策略",Gamexy ,2017年7月26日,20,2 GB,Intel Pentium Dual CPU E2180 2.00GHz or higher,3,67
525300,Starship Annihilator,"动作, 独立",IR Studio ,2016年9月2日,6,2 GB,2.0 GHz CPU Dual Core,0,26
633360,Remothered: Tormented Fathers,"动作, 冒险, 独立",Stormind Games ,2018年1月30日,70,4 GB,"Quad-core Intel or AMD processor, 2.5 GHz",16,536
465520,PRICE,"冒险, 休闲, 独立",YETU GAME ,2016年9月15日,19,512 MB,1000MHz,9,3921
307130,Asteria,"动作, 冒险, 独立",Legend Studio ,2014年7月3日,21,1 GB,Dual Core 2.0GHz or equivalent processor,4,176
458060,Drusilla Dreams,休闲,Seraphim Creations ,2016年4月22日,6,512 MB,Pentium III 800 MHz,5,25
733430,The Escape,"独立, 策略, 抢先体验",The Escape Team ,2017年12月29日,28,4 GB,Intel Core i3-4340 / AMD FX-6300,0,11
369580,NotTheNameWeWanted,休闲,NotGames ,2015年7月2日,15,1 GB,1.5 Ghz,161,2442
589780,The Red Strings Club,"冒险, 独立",Deconstructeam ,2018年1月22日,50,1 GB,"Intel Pentium D 915 (2800 MHz), AMD Athlon 64 4000+ (2600 MHz) or equivalent",30,690
357070,UBERMOSH,"动作, 独立",Walter Machado ,2015年8月13日,6,2048 MB,1.6Ghz+,33,1673
299440,Rooks Keep,"动作, 独立, 策略",RuneStorm ,2014年12月5日,31,2 GB,2.4GHz Dual core CPU,13,13
451880,Catch a Falling Star,"休闲, 独立",Alister Software ,2016年3月30日,6,1 GB,1.5Ghz or better,7,171
610080,Realm Grinder,"免费游玩, 角色扮演, 策略",Divine Games ,2017年6月15日,0,1 GB,Core i5 or Core i7,19,0
528550,Drunkn Bar Fight,"动作, 独立, 抢先体验",The Munky ,2016年11月28日,40,4 GB,i5 3.3 Ghz,11,243
